circuit;area;power;timing;ssim;compression
copyB_13_LOBA0_4;0.0000;0.0000;0.0000;0.957308;0.291
trunc0_13_LOBA0_4;0.0000;0.0000;0.0000;0.991944;0.450
trunc0_13_LOBA0_4;0.0000;0.0000;0.0000;0.957308;0.291
trunc0_13_DRUM_6;0.0000;0.0000;0.0000;0.995721;0.771
trunc0_13_DRUM_6;0.0000;0.0000;0.0000;0.953910;0.404
copyB_13_DRUM_6;0.0000;0.0000;0.0000;0.995721;0.771
copyB_13_DRUM_6;0.0000;0.0000;0.0000;0.953910;0.404
trunc1_13_DRUM_6;0.0000;0.0000;0.0000;0.995735;0.772
trunc1_13_DRUM_6;0.0000;0.0000;0.0000;0.953977;0.403
copyB_12_DRUM_6;0.0000;0.0000;0.0000;0.996884;0.595
copyB_12_DRUM_6;0.0000;0.0000;0.0000;0.960174;0.354
trunc0_12_DRUM_6;0.0000;0.0000;0.0000;0.996884;0.595
trunc0_12_DRUM_6;0.0000;0.0000;0.0000;0.960174;0.354
trunc1_12_DRUM_6;0.0000;0.0000;0.0000;0.996889;0.595
trunc1_12_DRUM_6;0.0000;0.0000;0.0000;0.960169;0.354
copyB_11_DRUM_6;0.0000;0.0000;0.0000;0.996878;0.474
copyB_11_DRUM_6;0.0000;0.0000;0.0000;0.962703;0.332
trunc0_11_DRUM_6;0.0000;0.0000;0.0000;0.996878;0.474
trunc0_11_DRUM_6;0.0000;0.0000;0.0000;0.962703;0.332
copyB_12_DRUM_7;0.0000;0.0000;0.0000;0.997759;0.595
copyB_12_DRUM_7;0.0000;0.0000;0.0000;0.973558;0.354
trunc0_12_DRUM_7;0.0000;0.0000;0.0000;0.997759;0.595
trunc0_12_DRUM_7;0.0000;0.0000;0.0000;0.973558;0.354
trunc1_12_DRUM_7;0.0000;0.0000;0.0000;0.997764;0.595
trunc1_12_DRUM_7;0.0000;0.0000;0.0000;0.973621;0.353
trunc0_11_DRUM_7;0.0000;0.0000;0.0000;0.997754;0.475
trunc0_11_DRUM_7;0.0000;0.0000;0.0000;0.976167;0.331
copyB_11_DRUM_7;0.0000;0.0000;0.0000;0.997754;0.475
copyB_11_DRUM_7;0.0000;0.0000;0.0000;0.976167;0.331
copyB_12_DRUM_8;0.0000;0.0000;0.0000;0.998200;0.595
copyB_12_DRUM_8;0.0000;0.0000;0.0000;0.981728;0.353
trunc0_12_DRUM_8;0.0000;0.0000;0.0000;0.998200;0.595
trunc0_12_DRUM_8;0.0000;0.0000;0.0000;0.981728;0.353
trunc1_12_DRUM_8;0.0000;0.0000;0.0000;0.998203;0.596
trunc1_12_DRUM_8;0.0000;0.0000;0.0000;0.981827;0.352
copyB_11_DRUM_8;0.0000;0.0000;0.0000;0.998235;0.474
copyB_11_DRUM_8;0.0000;0.0000;0.0000;0.983668;0.331
trunc0_11_DRUM_8;0.0000;0.0000;0.0000;0.998235;0.474
trunc0_11_DRUM_8;0.0000;0.0000;0.0000;0.983668;0.331
trunc0_9_DRUM_8;0.0000;0.0000;0.0000;0.998202;0.474
trunc0_9_DRUM_8;0.0000;0.0000;0.0000;0.984227;0.327
copyB_9_DRUM_8;0.0000;0.0000;0.0000;0.998202;0.474
copyB_9_DRUM_8;0.0000;0.0000;0.0000;0.984227;0.327
trunc1_9_DRUM_8;0.0000;0.0000;0.0000;0.998195;0.474
trunc1_9_DRUM_8;0.0000;0.0000;0.0000;0.984240;0.327
trunc1_8_DRUM_8;0.0000;0.0000;0.0000;0.998202;0.474
trunc1_8_DRUM_8;0.0000;0.0000;0.0000;0.984333;0.327
