circuit;area;power;timing;ssim;compression
loa_11_DRUM_6;35.946388;41.518741;-15.558125;0.981003;0.511
loa_11_DRUM_5;38.511070;44.152742;-18.217841;0.951953;0.519
loa_12_DRUM_8;33.389570;38.010201;-15.543619;0.985954;0.507
loa_12_DRUM_7;35.136670;40.206008;-19.721739;0.982248;0.509
loa_12_DRUM_6;36.794899;42.337509;-19.355582;0.980110;0.512
loa_12_DRUM_5;39.352798;44.944906;-19.674754;0.951009;0.520
loa_13_DRUM_8;34.335868;38.935530;-15.214639;0.980681;0.542
loa_13_DRUM_7;36.303566;41.311025;-17.480786;0.977037;0.544
loa_13_DRUM_6;37.549190;42.952261;-17.494006;0.973510;0.546
loa_14_DRUM_8;35.231446;39.775212;-14.763315;0.968741;0.635
loa_14_DRUM_7;37.338063;42.319441;-18.102826;0.965846;0.643
loa_14_DRUM_6;38.545244;43.889968;-23.851567;0.963176;0.643
trunc0_6_DRUM_8;29.170166;34.133464;26.437799;0.986511;0.507
trunc0_6_DRUM_7;31.091734;36.620927;21.358831;0.982752;0.509
trunc0_6_DRUM_6;32.721752;38.408844;20.837724;0.980647;0.511
trunc0_6_DRUM_5;35.127139;41.125789;22.122347;0.953241;0.520
trunc0_7_DRUM_8;29.928462;34.867866;23.682353;0.986519;0.507
trunc0_7_DRUM_7;32.018738;37.330146;20.124131;0.982755;0.509
trunc0_7_DRUM_6;33.573977;39.309702;22.697948;0.981076;0.511
trunc0_7_DRUM_5;36.028272;41.927058;20.744761;0.953240;0.521
trunc0_8_DRUM_8;30.829068;35.616353;27.620185;0.986557;0.507
trunc0_8_DRUM_7;32.765983;38.094710;23.474003;0.982801;0.509
trunc0_8_DRUM_6;34.326104;39.989045;25.754912;0.981052;0.511
trunc0_8_DRUM_5;36.914611;42.682231;26.271863;0.953243;0.521
trunc0_9_DRUM_8;31.765047;36.485343;24.875294;0.986597;0.508
trunc0_9_DRUM_7;33.738797;39.024592;21.204095;0.982992;0.509
trunc0_9_DRUM_6;35.433129;40.869986;22.672856;0.981049;0.512
trunc0_9_DRUM_5;37.815451;43.494597;28.866662;0.952677;0.521
trunc0_10_DRUM_8;32.593533;37.239235;32.999788;0.986505;0.505
trunc0_10_DRUM_7;34.590085;39.754583;29.473059;0.983070;0.507
trunc0_10_DRUM_6;36.143803;41.649487;30.261145;0.981177;0.510
trunc0_10_DRUM_5;38.736023;44.433584;29.783300;0.952517;0.519
trunc0_11_DRUM_8;33.543076;38.086600;31.313811;0.986555;0.504
trunc0_11_DRUM_7;35.616484;40.629406;30.101701;0.982852;0.505
trunc0_11_DRUM_6;37.034382;42.427851;30.058841;0.981151;0.509
trunc0_11_DRUM_5;39.635928;45.184063;32.578408;0.952190;0.516
trunc0_12_DRUM_8;34.627329;39.115503;36.179628;0.985910;0.508
trunc0_12_DRUM_7;36.504666;41.392262;34.700556;0.982214;0.509
trunc0_12_DRUM_6;38.172747;43.496020;31.058898;0.980093;0.512
trunc0_12_DRUM_5;40.723864;46.171991;33.998215;0.950985;0.519
trunc0_13_DRUM_8;35.808814;40.295354;38.405021;0.980168;0.538
trunc0_13_DRUM_7;37.820684;42.691906;35.372654;0.976994;0.540
trunc0_13_DRUM_6;39.127581;44.368140;36.919841;0.973468;0.543
trunc0_14_DRUM_8;36.952791;41.274035;46.538884;0.965961;0.649
trunc0_14_DRUM_7;39.070634;43.869481;42.326873;0.961262;0.651
trunc0_14_DRUM_6;40.410770;45.688270;40.778625;0.958524;0.652
trunc1_6_DRUM_8;29.099333;33.968430;-8.903358;0.986558;0.507
trunc1_6_DRUM_7;31.060979;36.339088;-12.929554;0.982818;0.509
trunc1_6_DRUM_6;32.630572;38.214359;-11.176216;0.980957;0.511
trunc1_6_DRUM_5;35.056130;40.919781;-11.762448;0.953276;0.520
trunc1_7_DRUM_8;29.992367;34.742952;-4.400504;0.986564;0.507
trunc1_7_DRUM_7;31.885227;37.160987;-7.699583;0.982805;0.509
trunc1_7_DRUM_6;33.391002;39.018332;-7.241647;0.980956;0.511
trunc1_7_DRUM_5;35.836703;41.609794;-8.102846;0.951663;0.520
trunc1_8_DRUM_8;30.681174;35.397256;0.577111;0.986620;0.507
trunc1_8_DRUM_7;32.571403;37.830513;-2.707555;0.982794;0.509
trunc1_8_DRUM_6;34.191541;39.715601;-1.317447;0.980946;0.511
trunc1_8_DRUM_5;36.736548;42.415900;-1.108034;0.953252;0.521
trunc1_9_DRUM_8;31.538806;36.188423;8.292312;0.986600;0.507
trunc1_9_DRUM_7;33.510364;38.643448;4.445441;0.982996;0.526
trunc1_9_DRUM_6;35.092439;40.575770;6.199548;0.980955;0.512
trunc1_9_DRUM_5;37.644521;43.215604;5.287774;0.951336;0.520
trunc1_10_DRUM_8;32.446633;37.068795;11.274285;0.986499;0.522
trunc1_10_DRUM_7;34.302804;39.473740;8.860866;0.983041;0.506
trunc1_10_DRUM_6;35.945306;41.471222;9.614365;0.981065;0.509
trunc1_10_DRUM_5;38.573893;44.180058;9.284904;0.952657;0.520
trunc1_11_DRUM_8;33.626948;38.132269;17.991833;0.986433;0.506
trunc1_11_DRUM_7;35.406322;40.430369;15.022494;0.982721;0.508
trunc1_11_DRUM_6;36.994858;42.473378;14.931783;0.981005;0.510
