circuit;area;power;timing;ssim;compression
eta1_10_DRUM_6;109452.313;4179.660;48207.477;0.980974;0.510
eta1_10_DRUM_5;104942.764;3986.630;48846.137;0.952599;0.519
eta1_11_DRUM_8;113794.843;4424.880;47371.766;0.986433;0.506
eta1_11_DRUM_7;110462.681;4255.070;48270.676;0.982640;0.508
eta1_11_DRUM_6;107856.200;4117.800;48383.809;0.981003;0.511
eta1_11_DRUM_5;103445.840;3927.600;49076.094;0.951953;0.519
eta1_12_DRUM_8;112189.538;4365.480;48086.625;0.985867;0.508
eta1_12_DRUM_7;108998.689;4196.220;50144.176;0.982138;0.509
eta1_12_DRUM_6;106370.728;4064.270;49804.840;0.979632;0.512
eta1_12_DRUM_5;101973.885;3871.420;50202.617;0.950946;0.520
eta1_13_DRUM_8;110542.455;4300.900;47644.281;0.980067;0.537
eta1_13_DRUM_7;107330.077;4132.630;49099.914;0.976644;0.539
eta1_13_DRUM_6;105182.134;4017.400;48471.980;0.973224;0.541
eta1_14_DRUM_8;109173.719;4239.790;47727.949;0.966712;0.651
eta1_14_DRUM_7;105676.407;4067.860;48828.445;0.963650;0.656
eta1_14_DRUM_6;103261.176;3947.170;48703.496;0.961070;0.656
loa_6_DRUM_8;120256.659;4676.250;43724.199;0.986511;0.507
loa_6_DRUM_7;117122.482;4514.830;45022.355;0.982752;0.509
loa_6_DRUM_6;114337.530;4377.810;45618.977;0.980647;0.511
loa_6_DRUM_5;110217.511;4187.320;46110.535;0.953241;0.520
loa_7_DRUM_8;118961.799;4631.560;45122.008;0.986519;0.507
loa_7_DRUM_7;115783.188;4469.810;47289.801;0.982755;0.509
loa_7_DRUM_6;113118.708;4327.530;46789.078;0.981076;0.511
loa_7_DRUM_5;108997.755;4147.060;47656.973;0.953240;0.521
loa_8_DRUM_8;117698.150;4581.770;45448.160;0.986567;0.508
loa_8_DRUM_7;114770.461;4425.900;47082.340;0.982829;0.509
loa_8_DRUM_6;111920.136;4283.310;46941.809;0.981013;0.512
loa_8_DRUM_5;107771.806;4096.590;47525.254;0.953264;0.521
loa_9_DRUM_8;116377.682;4530.260;45802.363;0.986578;0.508
loa_9_DRUM_7;113276.092;4363.350;47902.102;0.982991;0.510
loa_9_DRUM_6;110653.145;4237.030;47954.812;0.981030;0.511
loa_9_DRUM_5;106420.519;4042.860;48063.312;0.952673;0.520
loa_10_DRUM_8;115235.979;4482.710;47529.543;0.986489;0.505
loa_10_DRUM_7;112047.686;4320.380;49052.844;0.983044;0.507
loa_10_DRUM_6;109428.523;4175.760;48650.926;0.980974;0.510
loa_10_DRUM_5;105052.717;3985.120;49304.660;0.952599;0.519
loa_11_DRUM_8;113689.264;4417.690;47827.652;0.986433;0.506
loa_11_DRUM_7;110428.766;4256.350;49848.152;0.982640;0.508
loa_11_DRUM_6;107695.964;4110.560;48697.918;0.981003;0.511
